Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
984, Sams Green Chilly Sauce 200 g ,60.0,30.0,,,SAMS,200.0,g,1,30.0,50.0,150.0
985, Haldiram's Nagpur Kaju Katli (Pack of 2 X 500 g) ,1060.0,1060.0,,,HALDIRAM'S NAGPUR,110.0,g,2,0.0,0.0,4818.18
986, Hershey's Cocoa Spreads 350 g ,320.0,219.0,,,HERSHEY'S,350.0,g,1,101.0,31.56,625.71
987, Haldirams Chana Dry Fruit Burfi 400 g ,280.0,279.0,,,HALDIRAM'S,400.0,g,1,1.0,0.36,697.5
988, Mother's Recipe Sabudana Papad with Rock Salt 75 g ,34.0,30.0,,,MOTHER'S RECIPE,75.0,g,1,4.0,11.76,400.0
989, Indiyum Kaju Barfi 800g (200g X 4) ,1040.0,605.0,,,INDIYUM,800.0,g,1,435.0,41.83,756.25
990, Swadeshi Farms Gujarati Khakhra - Methi ,300.0,159.0,,,SWADESHI FARMS,110.0,g,1,141.0,47.0,1445.45
991, Parle 20-20 Cashew Cookies 200 g ,35.0,32.0,,,PARLE 20-20,200.0,g,1,3.0,8.57,160.0
992, Parle Hide & Seek Black Bourbon Vanilla Cream Biscuits 100 g ,30.0,27.0,,,PARLE,100.0,g,1,3.0,10.0,270.0
993," Denali Premium Dark Compound, Delicious Chocolate Bars for Cooking/Baking Cakes, Muffins, Mousse (400 Grams, 2 Slabs) Bars ",460.0,249.0,,,DENALI FOODS,200.0,g,1,211.0,45.87,1245.0
994," Gits Instant Gulab Jamun Dessert Mix, Pure Veg, Indian Dessert and Mithai, 800g (Pack of 4, 200g Each) ",460.0,423.0,,,GITS,800.0,g,4,37.0,8.04,132.19
995, Maggi Rich Tomato Sauce 500 g ,120.0,111.0,,,MAGGI,500.0,g,1,9.0,7.5,222.0
996, Kellogg's Muesli (No Added Sugar) 500 g ,370.0,344.0,,,KELLOGG'S,500.0,g,1,26.0,7.03,688.0
997, Sundrop Creamy Peanut Butter 462 g ,225.0,190.0,,,SUNDROP,462.0,g,1,35.0,15.56,411.26
998, Ganesh Premium Appalams 180 g ,99.0,49.0,,,GANESH,180.0,g,1,50.0,50.51,272.22
999, Lijjat Punjabi Masala Special Papad 250 g ,110.0,102.0,,,LIJJAT,250.0,g,1,8.0,7.27,408.0
1000, Funfoods Eggless Cucumber & Carrot Sandwich Spread 300 g ,89.0,82.0,,,FUNFOODS,300.0,g,1,7.0,7.87,273.33
1001, Shree Misthan Kaju Besan Ladoo 800g (400g X 2) ,560.0,399.0,,,SHREE MISTHAN,800.0,g,1,161.0,28.75,498.75
1002, Taali Masala Mania Protein Puffs 60 g ,59.0,39.0,,,TAALI,60.0,g,1,20.0,33.9,650.0
1003, Keya Gourmet Spirali Fusilli Durum Wheat Pasta 500 gm x 1 ,160.0,157.0,,,KEYA,500.0,gm,1,3.0,1.88,314.0
