,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
263, Ching's Secret Schezwan Fried Rice Masala 20 g ,10,9,None,None,CHING'S SECRET
264, ALEMA MOGRA BASMATI RICE 30KG ,"4,451.00","1,499.00",None,( 49.97/1 kg),ALEMA
265, Good Life Surti Kolam Rice 1 kg ,105,68,None,None,GOOD LIFE
266, Good Life Jeerasar Rice 1 kg ,53,53,None,None,GOOD LIFE
267, Fortune Mini Mogra Basmati Rice 10 kg ,700,499,None,( 49.90/1 kg),FORTUNE
268, Tata Sampann Unpolished Kabuli Chana 500 g ,160,148,None,None,TATA SAMPANN
269, Gowardhan Pure Cow Ghee 500 ml (Pouch) ,385,345,None,None,GOWARDHAN
270, Kitchen Jungle Premium Dry Figs| Anjeer - 1kg FIGS | Dry Anjir (Dried Figs) ,"1,799.00",599,None,None,KITCHEN JUNGLE
271, Nutraj Gold Walnut Kernels 250 grams| Walnut without Shell Kernels| Akhrot Giri Dry Fruit ,435,319,None,( 319.00/250 g),NUTRAJ
272, 921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 10KG ,625,529,None,( 52.90/1 kg),921
273, Good Life Phool Makhana 100 g ,150,119,None,None,GOOD LIFE
274," Foodcan Dried Apricots 1 Kg | Khumani Khurbani, Jardalu Dry Fruit Badam Bor| Dry Fruits | 1 Kg Saver Pack ","1,500.00",369,None,None,FOODCAN
275, Good Life Whole Masoor 500 g ,65,55,None,None,GOOD LIFE
276," Eatyumm Indian Poppy Seeds / Khus Khus / Posto Dana,400 Gram ","2,000.00",549,None,None,EATYUMM
