,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
188, Nescafe Gold Instant Coffee Powder 95 g , 550.00 ,399.00,None,None,NESCAFE,95,g,1,Success,JoiMart
189, Wagh Bakri Premium Navchetan Tea | 250g*4 Pk | 1kg | + Organic Green Ilayachi 25g | , 450.00 ,445.00,None,None,WAGH BAKRI,250,g,1,Success,JoiMart
190, Tata Tea Agni | Strong Leaf Tea | 250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 350.00 ,310.00,None,None,TATA TEA,250,gm,2,Success,JoiMart
191, Bru Instant Coffee Powder Pack of 2 x 200g | Special Catering Pack | Super Strong Coffee Powder , 720.00 ,599.00,None,None,BRU,200,g,2,Success,JoiMart
192, Tata Gold Care Flavoured Leaf Tea 500 g , 325.00 ,250.00,None,None,TATA TEA GOLD,500,g,1,Success,JoiMart
193, Nescafe Sunrise COFFEE POWDER SPECIAL CATERING PACK OF 2 (EACH 200G) Instant Coffee , 640.00 ,599.00,None,None,A. MANGALS,200,g,2,Success,JoiMart
194, B Natural Chatpata Jamun Juice 1 L , 140.00 ,70.00,None,None,B NATURAL,1,l,1,Success,JoiMart
195, Wagh Bakri Premium Leaf Tea| 250g* 4 Packs| 1 Kg+ Green Premium Ilayachi 25g ,790.00,790.00,None,None,WAGH BAKRI,250,g,1,Success,JoiMart
196, Tata Tea Premium Tea 1.5 kg , 705.00 ,525.00,None,None,TATA TEA,1.5,kg,1,Success,JoiMart
197," BEVZILLA 100% Arabica Instant Coffee Powder - 200 Grams | Premium Coffee| Strong Coffee| Classic Coffee| Espresso, Latte & Cappucino| Pure Coffee| Hot & Cold Coffee ", 799.00 ,369.00,None,None,BEVZILLA,200,grams,1,Success,JoiMart
198, Cravova Green Apple Mojito 300 ml , 60.00 ,30.00,None,None,CRAVOVA,300,ml,1,Success,JoiMart
199, Balaji Agro Meri Chai_ CHARMINAR_ 1kg , 240.00 ,180.00,None,None,BALAJ AGRO MERI CHAI,1,kg,1,Success,JoiMart
