,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
907," C. SOMABHAI's Uday Gold CTC Leaf Tea - 1kg, Unique Blend of Assam and Dooars Black Tea Leaves - Kadak, Aromatic & Strong Chai patti ", 400.00 ,384.00,None,None,C. SOMABHAI (QUALITY TEA)
908," TEA VALLEY Gold 100 Percent Assam Tea Rich and Strong Taste Make Masala Tea, Ginger Tea, Cardamom Chai, 500 g (pack of 2) ", 640.00 ,520.00,None,None,TEA VALLEY
909, Dhopabor Premium Tea -750 g (500g + 250g Value Offer Packs) | High quality Assam CTC Chai| , 291.00 ,270.00,None,None,DHOPABOR
910," C. SOMABHAI's No. 11 CTC Premium Dust Tea - 500kg, Assam Tea, Kadak Chai Patti, Strong Regular Black Tea Powder 500 kg Pack ", 268.00 ,250.00,None,None,C. SOMABHAI (QUALITY TEA)
911, Spearmint Tea , 400.00 ,201.00,None,None,NAVVAYD
912," Pure Tender Coconut Water| No Added Sugar| Natural Energy Drink| Pack of 6, 200 ml each| ", 300.00 ,240.00,None,None,PURE
913," GopaljeeThandai with Badam, Pista, Elaichi 1kg ", 525.00 ,472.00,None,None,GOPALJEE
914, Dabur Giloy Neem Tulsi Juice - 1L with Reusable Stainless Steel Straw with Cleaning Brush(Set of 5) , 430.00 ,429.00,None,None,DABUR
915, Neuwganic - Tulsi Green Tea | Green Tea | Weight Loss | Immnunity Booster | 100 Gm Pack Of 1 , 500.00 ,215.00,None,None,NEUWGANIC
916, Granules n Beans Coffee Latte Instant Coffee Premix - (10 Sachet x 14g = 140g) , 160.00 ,144.00,None,None,GRANULES N BEANS
917," Colombian Brew Vanilla Instant Coffee Powder, No Sugar Vegan, 50g ", 199.00 ,197.00,None,None,COLOMBIAN BREW
918, Karma Kettle Chamomile - Herbal Tea with Chamomile Flower - 25 Tea Bag Box , 240.00 ,144.00,None,None,KARMA KETTLE
919, Lopchu Golden Orange Pekoe Darjeeling Tea , 600.00 ,315.00,None,None,NAVVAYD
920, Christopher Cocoa Hot Drinking Chocolate Powder with Dark Chocolate Buttons 1Kg ," 1,199.00 ",497.00,None,None,CHRISTOPHER COCOA
921, Roasted Darjeeling Tea , 400.00 ,201.00,None,None,NAVVAYD
922, Mala's Strawberry Crush 1 L , 240.00 ,223.00,None,None,MALA'S
923, Organic Life 100% Natural Apple Cider Vinegar 1500 Ml. , 747.00 ,430.00,None,None,ORGANIC LIFE
924, Rage Coffee - 100 GMS Original Blend , 499.00 ,314.00,None,None,RAGE COFFEE
925," Nescafe Gold Altarica Instant Coffee Jar, 100 Gm ", 823.62 ,664.00, Imported ,None,NESCAFE
926," Rk Home Made Natural Syrup Pan Pasand Syrup Concentrated Syrups And Squash, 750 Ml ", 500.00 ,199.00,None,None,RK HOME MADE NATURAL SYRUP
927, KRISHNA Tea - Dust 1kg Pack Leaf 500g | Assam Tea Leaves | Chai Patti | Milk Tea | Combo Pack (1.5kg ) , 599.00 ,499.00,None,None,KRISHNA ASSAM TEA
928, Duncans Finest Hand - Picked Leaf Tea Double Diamond Premium CTC Leaf Tea - 250 Grams - Pack of 3 , 405.00 ,369.00,None,None,DUNCANS FINEST HAND - PICKED LEAF TEA
929, SPYRAN CTC Assam Chai Patti Leaves Leaf Tea (500 G) , 185.00 ,172.00,None,None,SPYRAN
930," Farm Hots Amla Candy/ Awala Candy (Indian Gooseberry) Sweet,100 Grams Pack ", 390.00 ,123.00,None,None,FARM HOTS
931, 1952 Golden Blend South Indian Filter Coffee Powder with Slow-Roasted Perfectly 1000 g Pouch Chicory Filter Coffee , 999.00 ,560.00,None,None,1952
