Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Is Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
168, Yogabar 500g Cashews W320 | 100% Natural Premium Whole Cashews | Whole Crunchy Cashew | Premium Kaju nuts | Nutritious & Delicious | Gluten Free & Plant based Protein ,600.0,449.0,,,YOGABAR,500.0,g,False,151.0,25.17,898.0
169, Gulab Classic Refined Cottonseed Oil 5 L ,782.0,555.0,,( 111.00/1 l),GULAB,5.0,l,False,227.0,29.03,111.0
170, Good Life Compounded Hing Powder 50 g ,95.0,55.0,,,GOOD LIFE,50.0,g,False,40.0,42.11,1100.0
171, India Gate Mini Mogra Basmati Rice 10 kg ,675.0,535.0,,( 53.50/1 kg),INDIA GATE,10.0,kg,False,140.0,20.74,53.5
172, Tulsi California Rozana Value Almonds 1 Kg ,1140.0,749.0,,,TULSI,1.0,kg,False,391.0,34.3,749.0
173, Rice Villa Rozana Basmati Rice 26 Kg ,2600.0,1559.0,,( 59.96/1 kg),"RICE VILLA, DEVICE OF SHIELD, PADDY TREE",26.0,kg,False,1041.0,40.04,59.96
174, Molsi's 1Kg Kimia Dates (500gX2) ,550.0,345.0,,,MOLSI'S,1.0,kg,False,205.0,37.27,345.0
175, Good Life Masoor Dal 1 kg ,135.0,113.0,,,GOOD LIFE,1.0,kg,False,22.0,16.3,113.0
176, Pyramid Traders 1KG Kashmiri Mamra Almonds (Badam Giri) ,4000.0,1070.0,,,PYRAMID TRADERS,1.0,kg,False,2930.0,73.25,1070.0
177, Good Life Soya Wadi / Chunks 200 g ,55.0,27.0,,,GOOD LIFE,200.0,g,False,28.0,50.91,135.0
178, Good Life Filtered Groundnut Oil 1 L ,215.0,179.0,,,GOOD LIFE,1.0,l,False,36.0,16.74,179.0
179, Fortune Soya Health Refined Soyabean Oil 5 L ,680.0,615.0,,( 123.00/1 l),FORTUNE,5.0,l,False,65.0,9.56,123.0
180, Jubilee Regular Long Grain Rice 1 kg ,190.0,63.0,,,JUBILEE,1.0,kg,False,127.0,66.84,63.0
181, BLK FOODS Select 500g Cashews Nuts (320 no. Kaju) ,1150.0,369.0,,,BLK FOODS,500.0,g,False,781.0,67.91,738.0
182, Good Life Thick Poha / Aval 500 g ,38.0,34.0,,,GOOD LIFE,500.0,g,False,4.0,10.53,68.0
183, Dhara Filtered Groundnut Oil 1 L (Pouch) ,255.0,205.0,,,DHARA,1.0,l,False,50.0,19.61,205.0
184, Fortune Mogra Basmati Rice 10 kg ,800.0,599.0,,( 59.90/1 kg),FORTUNE,10.0,kg,False,201.0,25.12,59.9
185, Parth Jaggery 950 g ,90.0,62.0,,,PARTH,950.0,g,False,28.0,31.11,65.26
186, Fortune Besan 1 kg ,160.0,106.0,,,FORTUNE,1.0,kg,False,54.0,33.75,106.0
187, Tata Salt 2 kg ,55.0,48.0,,,TATA,2.0,kg,False,7.0,12.73,24.0
188, Prabhat Cow Ghee 1 L (Pouch) ,725.0,539.0,,,PRABHAT,1.0,l,False,186.0,25.66,539.0
189, Tata Rock Salt 1 kg ,120.0,99.0,,,TATA,1.0,kg,False,21.0,17.5,99.0
