Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
97, Nescafe Sunrise Instant Coffee Powder 50 g ,115.0,105.0,,,SUNRISE,50.0,g,1,Success,JoiMart,10.0,8.7,2100.0
98, Coca Cola 250 ml ,20.0,18.0,,,COCA COLA,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
99, Nescafe Classic Instant Coffee 24 g ,82.0,76.0,,,NESCAFE,24.0,g,1,Success,JoiMart,6.0,7.32,3166.67
100, Frooti 600 ml ,42.0,31.0,,,FROOTI,600.0,ml,1,Success,JoiMart,11.0,26.19,51.67
101, Patanjali Special Chyawanprash 1 kg ,360.0,270.0,,,PATANJALI,1.0,kg,1,Success,JoiMart,90.0,25.0,270.0
102, PediaSure Chocolate Drink Powder 400 g (Carton) ,770.0,700.0,,,PEDIASURE,400.0,g,1,Success,JoiMart,70.0,9.09,1750.0
103, BRU Green Label Filter Coffee Powder 500 g ,280.0,226.0,,,BRU,500.0,g,1,Success,JoiMart,54.0,19.29,452.0
104, Mirinda Orange 250 ml ,20.0,18.0,,,MIRINDA,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
105, Rage Coffee 50 Gms Irish Hazelnut Flavour ,349.0,149.0,,,RAGE COFFEE,50.0,gms,1,Success,JoiMart,200.0,57.31,2980.0
106, Sprite 300 ml ,40.0,34.0,,,SPRITE,300.0,ml,1,Success,JoiMart,6.0,15.0,113.33
107, Ensure Vanilla Drink Powder 400 g ,800.0,675.0,,,ENSURE,400.0,g,1,Success,JoiMart,125.0,15.62,1687.5
108, Bisleri Packaged Drinking Water 250 ml ,6.0,6.0,,,BISLERI,250.0,ml,1,Success,JoiMart,0.0,0.0,24.0
109, Complan Royale Chocolate Drink Powder 1 kg ,599.0,449.0,,,COMPLAN,1.0,kg,1,Success,JoiMart,150.0,25.04,449.0
110, Continental Speciale Instant Coffee 200g Pouch | 100% Pure Coffee ,400.0,389.0,,,CONTINENTAL,200.0,g,1,Success,JoiMart,11.0,2.75,1945.0
111, Octavius | KADAK Assam Tea - 2.5 Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti | Taza Tea | Garden Fresh Tea | Tea 2.5 Kg ,750.0,649.0,,,OCTAVIUS,2.5,kg,1,Success,JoiMart,101.0,13.47,259.6
112, Octavius | Suprabhatam Tez Kadak Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg ,240.0,219.0,,,OCTAVIUS,1.0,kg,1,Success,JoiMart,21.0,8.75,219.0
113, Horlicks Chocolate Delight 1 kg ,499.0,379.0,,,HORLICKS,1.0,kg,1,Success,JoiMart,120.0,24.05,379.0
114, Maaza Refresh Mango Drink 135 ml ,10.0,10.0,,,MAAZA,135.0,ml,1,Success,JoiMart,0.0,0.0,74.07
115, Red Label Leaf Tea 100 g ,55.0,51.0,,,RED LABEL,100.0,g,1,Success,JoiMart,4.0,7.27,510.0
