,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
137,137,MTR Hingh Powder,MTR,90.0,72.0,18.0,20.0,50 gm ,50 gm ,50.0,50.0
138,138,Cow Desi Ghee/Tuppa,Fresho Organic,2600.0,1658.0,942.0,36.23,2x1 L - (Multipack),2x1 L ,"(2.0, 'l')",2.0
139,139,Organic - Chana Brown/Kadale Kaalu,BB Royal,33.0,30.0,3.0,9.09,200 g ,200 g ,200.0,200.0
140,140,Rock Salt/Uppu,Tata Salt,120.0,88.8,31.200000000000003,26.0,1 kg - Pouch,1 kg ,1000.0,1000.0
141,141,Dates/Kharjura - Deseeded,Lion,149.0,149.0,0.0,0.0,500 g - Cup,500 g ,500.0,500.0
142,142,Jeera/Jeerige - Whole,Catch,280.0,215.6,64.4,23.0,200 g ,200 g ,200.0,200.0
143,143,High Aroma Cow Ghee,Amul,1450.0,1425.06,24.940000000000055,1.72,2 x 1 L - Multipack,2 x 1 L ,"(2.0, 'l')",2.0
144,144,Active - Pro Weight Watchers,Saffola,480.0,363.0,117.0,24.38,3x1 L - Multipack,3x1 L ,"(3.0, 'l')",3.0
145,145,Pista Magaj - Plain Kernel,BB Royal,1500.0,1334.0,166.0,11.07,500 g ,500 g ,500.0,500.0
146,146,Kabuli Chana/Kabuli Kadale,Tata Sampann,319.0,299.86,19.139999999999986,6.0,1 kg - Pouch,1 kg ,1000.0,1000.0
147,147,Lobia/Alasandee Kaalu - Red,BB Royal,30.0,29.0,1.0,3.33,200 g - Pouch,200 g ,200.0,200.0
148,148,"Organic - Mustard/Sasive/Rai, Small",BB Royal,21.0,20.0,1.0,4.76,100 g ,100 g ,100.0,100.0
149,149,Pure Ghee,Fresho,1600.0,1379.0,221.0,13.81,2x1 L - Multipack,2x1 L ,"(2.0, 'l')",2.0
150,150,Sabudana - White Medium,BB Royal,150.0,130.0,20.0,13.33,1 kg - Pouch,1 kg ,1000.0,1000.0
