,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
223," Red Bull Energy Drink, 250 ML Can JST ", 200.00 ,177.00,None,None,None
224, Alo Frut Mixed Fruit + Aloevera Juice 300 ml , 40.00 ,30.00,None,None,Alo Frut
225, BRU Instant Coffee 50 g , 195.00 ,180.00,None,None,BRU
226, Real Orange Juice by Dabur 1-L (Pack of 2) with Reusable Stainless Steel Straws (Set of 4) , 460.00 ,457.00,None,None,Real
227, Tetley Green Tea Bags 100 pcs , 625.00 ,312.00,None,None,Tetley
228, Baidyanath Chawanprash Awaleha 950 g , 385.00 ,308.00,None,None,None
229, Junior Horlicks Vanilla 500 g , 330.00 ,310.00,None,None,Horlicks
230, Rage Coffee 50 Gms Dark Chocolate Flavour , 349.00 ,149.00,None,None,None
231, Complan Creamy Classic 500 g , 305.00 ,256.00,None,None,Complan
232, Brooke Bond Red Label Natural Care Tea 500 Grm + 25 Grm Black Papper ( Kali Mirch ) ,460.00,460.00,None,None,Red Label
233, Bru Instant Coffee Powder { Special Catering } Pack of 3 x 200 grams Each , 960.00 ,849.00,None,None,None
234, Octavius | KADAK Assam Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg , 300.00 ,279.00,None,None,None
235, Cloud9 Energy Drink Berry Mix 250ml Bottle - Pack of 30 ,664.00,664.00,None,None,None
236, Bournvita 5 Star Magic Chocolate 750 g , 405.00 ,364.00,None,None,None
237, NutroVally Green Tea | For Weight Loss & Boost Immune | Premium Natural & Pure Aromatic Leaves | Lemon Green Tea Bags 100 Pcs , 796.00 ,419.00,None,None,Boost
238, Wagh Bakri Premium Navchetan Tea| 250g* 2 Pk| 500g | + Organic Green Ilayachi 25g| , 340.00 ,290.00,None,None,Wagh Bakri
239, Rage Coffee - 50 GMS Original Blend , 299.00 ,149.00,None,None,None
240, Tata Coffee| Instant Coffee| Super Saver Pack| 200g Each | Pack of 2 |400g ,485.00,485.00,None,None,Tata Coffee
241, Schweppes Tonic Water 300 ml , 60.00 ,55.00,None,None,Schweppes
242," Giacobazzi Non Alcoholic Sparkling Red Wine, 750ml ", 999.00 ,599.00,None,None,None
243, Alo Frut Kiwi + Aloevera Fruit Juice 1 L , 120.00 ,99.00,None,None,Alo Frut
