,Product name,MRP,Discount,Tag,PerUnitPrice
192, Anjani Popular Cashews/Kaju 1 kg ," 1,599.00 ",799.00,None,None
193, Good Life Phool Makhana 250 g , 300.00 ,249.00,None,None
194, Aashirvaad Chilli Powder 100 g , 72.00 ,36.00,None,None
195, Foodcan Kismis 1 Kg Black Afghani Raisin Dakh (Kishmis) 1 Kg Saver Pack ," 1,000.00 ",299.00,None,None
196, Puro Healthy Salt 1 kg , 110.00 ,95.00,None,None
197," Pawan Foods ""Paaritosh"" Premium Kacchi Ghani Mustard Oil 2 Litre | Sarso ka Tel Pure | Khusi ke Sath, Bhojan ka Swad | Natural with Healthy | kali Sarso ka Tel ", 520.00 ,425.00,None,None
198, OM+ Filtered Groundnut Oil Pouch 5 ltr (Pack of 5) ," 1,500.00 ",939.00,None,None
199, Kasturika Mini Mogra Steam Basmati 10 Kg Rice , 930.00 ,579.00,None,( 57.90/1 kg)
200, Gemini Filtered Groundnut Oil 1 L , 230.00 ,199.00,None,None
201, ALEMA MOGRA BASMATI RICE 30KG ," 4,451.00 ","1,499.00",None,( 49.97/1 kg)
202," Grocery On The Go MIX DRY FRUITS Almonds, Apricots, Cashews, Pistachios, Walnuts, Raisins 250GM ", 578.00 ,288.00,None,None
203, Tata Sampann Unpolished Tur / Arhar Dal 1 kg , 289.00 ,259.00,None,None
204, BLK Foods 1Kg Indian Kishmish | Big Size Raisins ( 500g x 2) ," 1,400.00 ",349.00,None,None
205," Marwar Red Chili Powder 1 Kg (Lal Mirchi Powder | Red Chilly Powder, Agmark Grade) 1 Kilogram Pack ", 560.00 ,279.00,None,None
206, Good Life Mixed Dry Fruits 500 g , 450.00 ,289.00,None,None
207, Good Life Dry White Peas 500 g , 67.00 ,61.00,None,None
208, Smith & Jones Ginger Garlic Paste 200 g , 50.00 ,29.00,None,( 14.50/100 g)
209, Lotus Spices Green Elaichi 10 g , 39.00 ,28.00,None,None
210, Fortune Soya Wadi / Chunks 200 g , 60.00 ,55.00,None,None
211, Dhara Health Refined Sunflower Oil 5 L , 780.00 ,599.00,None,( 119.80/1 l)
212, Good Life Jeera 1 kg ," 1,450.00 ",715.00,None,( 35.75/50 g)
213, Good Life Chitra Rajma 500 g , 112.00 ,97.00,None,None
214, Daawat Devaaya Basmati Rice 5 kg , 720.00 ,539.00,None,None
215, 921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 10KG , 625.00 ,529.00,None,( 52.90/1 kg)
216, Good Life Unpolished Moong Dal 500 g , 103.00 ,79.00,None,None
217, LILA DRY FRUITS 500gms x 2 (1 Kgs) Mason Jar Pack Premium Dried Afghani Anjeer| Dried Figs ," 1,499.00 ",659.00,None,None
218, Pansari Kachi Ghani Mustard oil/Sarso Cooking Oil| Good for Bones & Heart| - 3 Litre , 759.00 ,519.00,None,None
219," VEEDINT CUMIN SEEDS, JEERA WHOLE, CUMIN SEED WHOLE, 1 KG PACK ", 950.00 ,785.00,None,None
220, Kitchen Jungle Premium Dry Figs| Anjeer - 1kg FIGS | Dry Anjir (Dried Figs) ," 1,799.00 ",599.00,None,None
221," BANIYYA SETH Dried Afghani Anjeer / Figs, Rich in Iron, Fibre & Vitamins, Low in calories and Fat Free | Source of Dietary Fiber, 1 KG "," 1,299.00 ",549.00,None,None
222, Good Life Unpolished Moong Dal 1 kg , 202.00 ,155.00,None,None
223, Nutraj Gold Walnut Kernels 250 grams| Walnut without Shell Kernels| Akhrot Giri Dry Fruit , 435.00 ,319.00,None,( 319.00/250 g)
224, Molsi's 1kg Arabian Black Dates (500gX2) , 480.00 ,375.00,None,None
225, Being Vegan Afghani Anjeer Figs Afghanistan Dry Anjir Dried Figs Dry Fruits (500 Grams) ," 1,679.00 ",363.00,None,None
226," Eatyumm Indian Poppy Seeds / Khus Khus / Posto Dana,400 Gram "," 2,000.00 ",549.00,None,None
227, Ching's Secret Schezwan Fried Rice Masala 20 g , 10.00 ,9.00,None,None
228, Brill Kishmish (Green Raisin) (500g x 2pkt) 1Kg , 700.00 ,300.00,None,None
229, Sagar Pure Ghee 1 L (Pouch) , 635.00 ,579.00,None,None
230, Good Life Jeerasar Rice 1 kg ,53.00,53.00,None,None
231, Fortune Mini Mogra Basmati Rice 10 kg , 700.00 ,499.00,None,( 49.90/1 kg)
232, BLK Foods 1Kg Cashew ( 200g x 5) ," 2,450.00 ",799.00,None,None
233, Tata Sampann Unpolished Kabuli Chana 500 g , 160.00 ,148.00,None,None
234, Good Life Phool Makhana 100 g , 150.00 ,119.00,None,None
235," Foodcan Dried Apricots 1 Kg | Khumani Khurbani, Jardalu Dry Fruit Badam Bor| Dry Fruits | 1 Kg Saver Pack "," 1,500.00 ",349.00,None,None
236, Nutri Binge California Almonds 200g (200g x 2) , 540.00 ,349.00,None,None
237, Angur Oily Toor Dal 5Kg ," 1,500.00 ","1,300.00",None,( 260.00/1 kg)
238, Good Life Whole Masoor 500 g , 65.00 ,52.00,None,None
239, Good Life Idli Rice 1 kg , 95.00 ,57.00,None,None
240, Everest Tikhalal Chilli Powder 100 g , 68.00 ,63.00,None,None
241, Kashmir Exotics Kashmiri Walnut Kernels Light Brown Halves Vacuum Packed 400 G , 749.00 ,425.00,None,None
242, Tata Sampann Unpolished Gota Urad 1 kg , 224.00 ,208.00,None,None
243, Gulab Filtered Groundnut Oil 15 L ," 3,862.00 ","3,069.00",None,( 204.60/1 l)
244," Eatyumm Cardamom Green Whole - Grade - Big Size, 100g(Hari elaichi) - Premium Bold Size ", 599.00 ,299.00,None,None
245, Good Life Walnut Kernels 500 g , 750.00 ,659.00,None,None
246, Good Life Black Raisin 500 g , 280.00 ,189.00,None,None
247, ERAVAT Parmal 30kg Rice | Silky Parmal I TAKA TAK RICE ," 1,800.00 ","1,570.00",None,( 52.33/1 kg)
248, Notlih 1Kg Premium Raisins | Indian Green Kishmish | (Pack Of 2 - 500g Each) ," 1,000.00 ",348.00,None,None
249, India Gate Dubar Basmati Rice 1 kg , 159.00 ,132.00,None,None
250, NAVJEEVAN BLACK PEPPER 500g. , 820.00 ,349.00,None,None
