,Product name,MRP,Discount,Tag,PerUnitPrice
241, McCain French Fries 420 g , 115.00 ,99.00,None,None
242, Bambino Elbow Macaroni Pasta 400 g , 55.00 ,50.00,None,None
243, Saffola Oats 1 kg , 235.00 ,209.00,None,None
244, Knorr Classic Thick Tomato Soup 53 g , 60.00 ,45.00,None,None
245, Malkist Cheese Flavoured Cracker Biscuits (family pack) - 144g (Pack of 4 ) with Cash Back offer ,240.00,240.00,None,None
246, Snickers Peanut Chocolate 45 g , 50.00 ,39.00,None,None
247, Parle Milano Hide & Seek Centre Filled Mixed Berries Biscuits 75 g , 40.00 ,30.00,None,None
248, Knorr Pizza & Pasta Sauce 200 g , 65.00 ,43.00,None,None
249, Dukes Choco Safari Chocolate 250 g , 160.00 ,99.00,None,None
250, Haldiram's Nagpur Bhujia Sev 200 g , 55.00 ,50.00,None,None
251, LuvIt Goodies Chocolates Assorted Gift Pack | Gift Pack for Diwali Celebration | Pack of 1 - 148.5g , 140.00 ,127.00,None,None
252, Kissan Fresh Tomato Ketchup 1 kg , 156.00 ,140.00,None,None
253, Yogabar 20g High Protein Oats 850g | Choco Almond Oatmeal | High Fiber | Breakfast cereal | Weight Management | Whey Protein | , 699.00 ,499.00,None,None
254, Diwali Gift hampers with Dry Fruits/Dry Fruits Combo Pack/Dry fruits gift pack-Decorated Basket+2 Jars of Dry Fruits(Almond and Cashew)+handmade diary+2 designer Diya+4 Rangoli Colours+Diwali Card ," 1,400.00 ",599.00,None,None
255, Parle Platina Hide & Seek Milano Chocolate Chip Biscuits 150 g , 120.00 ,60.00,None,None
256, APLENTY Fryums Mix - Ready To Fry Papad With Tastemaker - 400 GM | Holi Special Fryum Pack | Holee Special Snacks | Combo Pack Of Best Fryum , 299.00 ,195.00,None,None
257, Sunfeast Yippee! Power Up Atta Noodles 280 g , 96.00 ,57.00,None,None
258, Nutella Ferrero Hazelnut Spread With Cocoa 180 g , 239.00 ,186.00,None,None
259, SAMS Red Chilly Sauce + Soya Sauce + Green Chilly Sauce 300 g (Pack of 3) , 210.00 ,189.00,None,None
260," Galaxy Fruit & Nut Silky Smooth Milk Chocolate Bar, 100% Cashback, 52g, (Pack of 8) ", 640.00 ,470.00,None,None
261, Cornitos Cheese & Herbs Nacho Crisps 55 g , 35.00 ,28.00,None,None
262, Unibic Choco Chip Cookies 500 g , 200.00 ,100.00,None,None
263, Cadbury Oreo Choco Creme Biscuits 288.75 g , 85.00 ,59.00,None,None
264, Parle Monaco Pizza Masala Crunch Biscuits 311 g , 130.00 ,65.00,None,None
265, Knorr Classic Hot & Sour Vegetable Soup 41 g , 60.00 ,45.00,None,None
266, Parle-G Original Glucose Biscuit 200 g , 25.00 ,23.00,None,None
267, Britannia 50-50 Maska Chaska Biscuits 105 g , 30.00 ,28.00,None,None
268," Futurelife White Oats | Whole Grains Oats | With Targeted Minerals of Zinc, Chromium and Magnesium | Gluten-free | High Fiber and Protein | 100% Healthy & Natural | 1kg Pouch ", 180.00 ,149.00,None,None
269, Chheda's Golden Lightly Salted Potato Chips 170 g , 85.00 ,50.00,None,None
270, Kissan Fresh Tomato Ketchup 850 g , 120.00 ,111.00,None,None
271, Haldiram's Khatta Meetha 350 g , 75.00 ,65.00,None,None
272, Cadbury Dairy Milk Almond Bites 40 g , 75.00 ,63.00,None,None
273, Maggi Mushroom Penne Pazzta 68.5 g , 32.00 ,24.00,None,None
274, Sunfeast Yippee Creamy Corn Tricolor Instant Pasta 65 g , 28.00 ,26.00,None,None
275, Shree Misthan Soan Papdi 400g , 280.00 ,189.00,None,None
276, McCain Smiles Value Pack 750 g , 240.00 ,160.00,None,None
277, Indiyum Sweets Mithai Dhoda Kaju Burfi 400g , 440.00 ,249.00,None,None
278, Parle Festive Delights Black Bourbon Choco Creme Sandwich Biscuits 300 g , 150.00 ,75.00,None,None
279, Haldiram's Nagpur Gulab Jamun 1 kg , 225.00 ,165.00,None,None
280, Sunfeast Yippee Noodlemagic Masala 360 g , 78.00 ,66.00,None,None
281, Parle Krack Jack Crackers 200 g , 40.00 ,37.00,None,None
282, Shree Misthan Milk Cake (Indian Mithai / Sweets Gift Pack / Box) Festive Gift Box 200g , 240.00 ,189.00,None,None
283, Peppy Tomato Discs 60 g , 60.00 ,30.00,None,None
284, Kellogg's Corn Flakes 70 g , 30.00 ,28.00,None,None
285, Haldiram Bhujiawala Pure Ghee Soan Papdi 1.5kg (500g X 3 pac) | Delicious Crispy & Flaky Premium | Sweet mithai | Diwali Sweets , 810.00 ,450.00,None,None
286, Cadbury Oreo Choco Creme Biscuits 481.25 g , 159.00 ,99.00,None,None
287, BTW Gulab Jamun 1 Kg , 325.00 ,280.00,None,None
288, Hershey's Kisses Almond Chocolate 33.6 g , 50.00 ,46.00,None,None
289, Parle Monaco Classic Cheeslings 300 g , 140.00 ,93.00,None,None
290, McCain Chilli Garlic Potato Bites 700 g , 240.00 ,160.00,None,None
291, Sunfeast Tomato Cheese Instant Pasta Treat 65 g , 28.00 ,16.00,None,None
292, Ching's Secret Manchurian Instant Noodles 240 g , 80.00 ,49.00,None,None
293, Cadbury Dairy Milk Silk Fruit & Nut Chocolate 137 g , 185.00 ,164.00,None,None
294, Patanjali Honey 1 kg , 410.00 ,348.00,None,None
295, Britannia Vita Marie Gold Biscuits 150 g , 30.00 ,27.00,None,None
296, Indiyum Bakarwadi 300g , 199.00 ,158.00,None,None
297, McCain French Fries 1.25 kg , 330.00 ,221.00,None,None
298, Haldirams Mysore Pak 200 g X 1 Box , 254.00 ,199.00,None,None
299, Indiyum Kaju Besan Laddu 400g , 280.00 ,220.00,None,None
300, MyFitness Peanut Butter Chocolate Smooth Peanut Butter 1250 gms , 649.00 ,475.00,None,None
301, Snac tac Mixed Fruit Jam 500 g , 170.00 ,85.00,None,None
