Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Baidyanath Karela Jamun Juice : 1 Litre,325,260,1 L,Baidyanath,₹ 260.00
Mogu Mogu Grape Juice Drink with Nata De Coco : 1 Litre,200,150,1 L,Mogu,₹ 150.00
Paper Boat Chilli Guava Drink : 200 ml,35,25,200 ml,Paper,₹ 0.13
Paper Boat Aamras Drink : 1 Litre,140,99,1 L,Paper,₹ 99.00
Raw Pressery Sugarcane : 1 Litre,250,150,1 L,Raw,₹ 150.00
Paper Boat Jaljeera Drink : 200 ml,35,25,200 ml,Paper,₹ 0.13
ICoco Lychee Flavoured Drink With Nata De Coco : 320 ml,70,59,320 ml,ICoco,₹ 0.18
Red Bull Energy Drink Pack : 6x250 ml,700,569,6x250 ml,Red,₹ 0.18
Monster Energy Drink Tin : 350 ml,125,80,350 ml,Monster,₹ 0.23
Sting Energy Drink : 250 ml,20,18,250 ml,Sting,₹ 0.07
Cipla Prolyte ORS - Orange Flavour : 200 ml,29.4,20,200 ml,Cipla,₹ 0.10
Cipla Prolyte ORS - Apple Flavour : 200 ml,29.4,20,200 ml,Cipla,₹ 0.10
Yakult Light Health Drink : 5x65 ml,29.4,0,5x65 ml,Yakult,₹ 0.10
Hurricane Berry Blast Energy Drink : 250 ml,60,49,250 ml,Hurricane,₹ 0.20
Budweiser Beats Energy Drink : 250 ml,110,60,250 ml,Budweiser,₹ 0.24
Hershey's Chocolate Syrup : 623 gms,230,195,623 gm,Hershey's,₹ 0.31
Hamdard Rooh Afza Sharbat : 750 ml,170,156,750 ml,Hamdard,₹ 0.21
Mapro Coolz Rose Sharbat : 1 Litre,252,182,1 L,Mapro,₹ 182.00
Kokan Gem Kokam Syrup : 1 Litre,180,90,1 L,Kokan,₹ 90.00
Mala's Rose Syrup : 1 Litre,230,150,1 L,Mala's,₹ 150.00
Mapro Restore Lemon Barley Water : 1 Litre,252,199,1 L,Mapro,₹ 199.00
Mala's Strawberry Crush : 1 Litre,240,150,1 L,Mala's,₹ 150.00
Mapro Whole Strawberry Crush : 1 Litre,360,260,1 L,Mapro,₹ 260.00
Mapro Litchi Crush : 1 Litre,252,182,1 L,Mapro,₹ 182.00
Mapro Orange Crush : 1 Litre,252,182,1 L,Mapro,₹ 182.00
Mapro Cocktail Mixology Kit : 750 ml,999,699,750 ml,Mapro,₹ 0.93
Mapro Alphonso Mango Crush : 1 Litre,360,279,1 L,Mapro,₹ 279.00
Tang Orange Instant Drink Mix : 750 gms,250,190,750 gm,Tang,₹ 0.25
Tang Lemon Instant Drink Mix : 500 gms,150,130,500 gm,Tang,₹ 0.26
Jalani Jaljira : 150 gms,60,46,150 gm,Jalani,₹ 0.38
Rasna Insta Orange Powder : 750 gms,300,150,750 gm,Rasna,₹ 0.20
Rasna Insta Mango Powder : 750 gms,300,150,750 gm,Rasna,₹ 0.20
Bisleri Packaged Drinking Water : 250 ml x 48 Units,288,249,250 ml x 48U,Bisleri,₹ 0.20
Bisleri Packaged Drinking Water : 5 Litres,70,50,5 L,Bisleri,₹ 10.00
Bisleri Water : 1 Litre,20,13,1 L,Bisleri,₹ 13.00
Perrier Carbonated Mineral Water : 330 ml,165,140,330 ml,Perrier,₹ 0.42
