Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Mapro Alphonso Mango Crush : 1 Litre,360,279.0,1 L,Mapro,₹ 279.00
Tang Orange Instant Drink Mix : 750 gms,250,190.0,750 gm,Tang,₹ 0.25
Tang Lemon Instant Drink Mix : 500 gms,150,130.0,500 gm,Tang,₹ 0.26
Jalani Jaljira : 150 gms,60,46.0,150 gm,Jalani,₹ 0.38
Rasna Insta Orange Powder : 750 gms,300,150.0,750 gm,Rasna,₹ 0.20
Rasna Insta Mango Powder : 750 gms,300,150.0,750 gm,Rasna,₹ 0.20
Bisleri Packaged Drinking Water : 250 ml x 48 Units,288,249.0,250 ml x 48U,Bisleri,₹ 0.20
Bisleri Packaged Drinking Water : 5 Litres,70,50.0,5 L,Bisleri,₹ 10.00
Bisleri Water : 1 Litre,20,13.0,1 L,Bisleri,₹ 13.00
Perrier Carbonated Mineral Water : 330 ml,165,140.0,330 ml,Perrier,₹ 0.42
