Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Balaji Simply Salted Stack Up : 60 gms,60,40,60 gm,Balaji,₹ 0.67
Beyond Snack Kerala Banana Chips - Peri Peri : 85 gms,60,42,85 gm,Beyond,₹ 0.49
Tastilo Spicy Jalapeno Nacho Chips : 150 gms,90,45,150 gm,Tastilo,₹ 0.30
Cornitos Nacho Crisps- Sizzlin Jalapeno : 150 gms,90,60,150 gm,Cornitos,₹ 0.40
Lay's Wafer Style Potato Chips - Salt With Pepper : 48 gms,20,15,48 gm,Lay's Wafer,₹ 0.31
Tastilo Nacho Chips - Cheesy Crispy : 60 gms,40,20,60 gm,Tastilo,₹ 0.33
Tastilo Nacho Chips - Peri Peri : 60 gms,40,20,60 gm,Tastilo,₹ 0.33
Makino Nacho Cheese Chips : 150 gms,90,55,150 gm,Makino,₹ 0.37
Beyond Snack Kerala Banana Chips - Salt And Pepper : 85 gms,60,42,85 gm,Beyond,₹ 0.49
Beyond Snack Kerala Banana Chips - Desi Masala : 85 gms,60,42,85 gm,Beyond,₹ 0.49
Wingreens Naan Chips Butter Garlic : 60 gms,40,20,60 gm,Wingreens,₹ 0.33
Pringles Potato Chips - Fusion Chutney : 102 gms,115,99,150 gm,Pringles,₹ 0.66
Beyond Snack Kerala Banana Chips - Hot & Sweet Chilli : 85 gms,60,42,85 gm,Beyond,₹ 0.49
Tastilo Nacho Chips - Spicy Jalapeno : 60 gms,40,20,60 gm,Tastilo,₹ 0.33
Makino Nacho Jalapeno Chips : 150 gms,90,50,150 gm,Makino,₹ 0.33
Tastilo Nacho Chips - Mexican Salsa : 60 gms,40,20,60 gm,Tastilo,₹ 0.33
Wingreens Naan Chips Chatpata Pudina : 60 gms,40,20,60 gm,Wingreens,₹ 0.33
Wayback Moong Baked Chips - Cheese N Herbs : 65 gms,80,40,65 gm,Wayback,₹ 0.62
Makino Nacho Sweet Chilly Chips :  150 gms,90,55,150 gm,Makino,₹ 0.37
Shiv Shakti Sabudana Kurdai : 100 gms,62,30,100 gm,Shiv,₹ 0.30
Makino Corn Twist Tomato : 60 gms,35,22,60 gm,Makino,₹ 0.37
Cornitos Nacho Crisps - Tomato Mexicana : 150 gms,90,60,150 gm,Cornitos,₹ 0.40
Cheetos Twisted Flamin Hot Corn Puffs : 30 gms,160,136,30 gm,Cheetos,₹ 4.53
Wayback Barley Baked Chips - Cream N Onion : 65 gms,80,40,65 gm,Wayback,₹ 0.62
Wayback Jowar Baked Chips - Lemon Ginger : 65 gms,80,40,65 gm,Wayback,₹ 0.62
Makino Nacho Cheese Chips Can Pack : 107 gms,120,75,107 gm,Makino,₹ 0.70
Wayback Bajra Baked Chips - Continental Spicy : 65 gms,80,40,65 gm,Wayback,₹ 0.62
McCain French Fries Pepper Crunch : 420 gms,150,129,420 gm,McCain,₹ 0.31
Tagz Popped Potato Chips Beer `N Barbeque : 56 Gms,110,55,56 gm,Tagz,₹ 0.98
Tagz Popped Potato Chips Cream & Onion Divin : 56 Gms,110,55,56 gm,Tagz,₹ 0.98
Tagz Popped Potato Chips Masala Trekkin : 56 Gms,110,55,56 gm,Tagz,₹ 0.98
Chitale Bandhu Bakarwadi : 250 gms,110,95,250 gm,Chitale,₹ 0.38
Chheda's Diet Poha Chivda : 350 gms,150,75,350 gm,Chheda's,₹ 0.21
Kurkure Masala Munch Namkeen : 100 gms,30,24,100 gm,Kurkure,₹ 0.24
Chheda's Kachori : 170 gms,60,39,170 gm,Chheda's,₹ 0.23
Prabhuji Khatta Meetha : 800 gms,220,89,800 gm,Prabhuji,₹ 0.11
Prabhuji All In One Mix : 1 kg,280,129,1 kg,Prabhuji,₹ 129.00
Vijayalaxmi Multigrain Bhajni Chakli : 500 gms,200,100,500 Gm,Vijayalaxmi,₹ 0.20
Babus Laxmi Narayan Best Farsan : 500 gms,140,65,500 gm,Babus,₹ 0.13
Farmley Peri Peri Makhana Jar : 83 gms,149,109,83 gm,Farmley,₹ 1.31
Farmley Cream & Onion Makhana Jar : 83 gms,199,125,83 gm,Farmley,₹ 1.51
Charliee Butter Chakli : 100 gms,76,37,100 gm,Charliee,₹ 0.37
Bikaji Falahari Mix : 170 gms,80,40,170 gm,Bikaji,₹ 0.24
Agrawals 420 Namkeen All In One : 900 gms,250,125,900 gm,Agrawals,₹ 0.14
Haldiram's Fine Bhel Sev : 150 gms,60,30,150 gm,Haldiram's,₹ 0.20
Panjwani Roasted Brown Chana : 200 gms,70,35,200 gm,Panjwani,₹ 0.17
Rajam Snacks Murukku : 150 gms,86,43,150 gm,Rajam,₹ 0.29
Taali Roasted Peanuts - Salted : 150 gms,80,40,150 gm,Taali,₹ 0.27
Garden Nylon Sev : 140 gms,55,35,140 gm,Garden,₹ 0.25
Sikandar Premium Roasted Peanuts Salted Khari Shing : 200 gms,70,59,200 gm,Sikandar,₹ 0.29
Rajam Snacks Chakli : 150 gms,86,43,150 gm,Rajam,₹ 0.36
Natural's Bite  Methi Masala Khakhra : 180 gms,75,37,180 gm,Natural's,₹ 0.21
Athavale's Jowar Poha Chivada : 200 gms,80,65,200 gm,Athavale's,₹ 0.33
Rajam Snacks Masala Murukku : 150 gms,86,43,150 gm,Rajam,₹ 0.29
Taali Roasted Peanuts - Nimboo Pudina : 140 gms,80,40,140 gm,Taali,₹ 0.29
Panjwani's White Sing : 200 gms,90,69,200 gm,Panjwani's,₹ 0.34
Panjwani's Skinwala Sing : 200 gms,88,55,200 gm,Panjwani's,₹ 0.28
Charliee Yellow Chana : 180 gms,80,40,180 gm,Charliee,₹ 0.22
Athavale's Methi Mathri : 200 gms,80,65,200 gm,Athavale's,₹ 0.33
Garden Yellow Banana Chips : 140 gms,99,64,140 gm,Garden,₹ 0.46
Panjwani Roasted Black Chana : 200 gms,85,65,200 gm,Panjwani,₹ 0.33
Athavale's Bhajani Chakali Sticks : 200 gms,80,65,200 gm,Athavale's,₹ 0.33
Makhanawala's Roasted Makhana (Foxnuts) Pudina Punch : 70 gms,130,99,70 gm,Makhanawala's,₹ 1.41
Charliee Sev Puri : 185 gms,100,50,185 gm,Charliee,₹ 0.27
Makhanawala's Roasted Makhana (Foxnuts) Himalayan Pink Salt : 70 gms,130,99,70 gm,Makhanawala's,₹ 1.41
Taali Roasted Peanuts - Masala : 140 gms,80,40,140 gm,Taali,₹ 0.29
Athavale's Farali Bhel  : 200 gms,80,65,200 gm,Athavale's,₹ 0.33
Garden Mini Bhakarwadi : 145 gms,55,35,145 gm,Garden,₹ 0.24
