,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
176,176.0,3 Minute Breakfast - Poha,MTR,4.1,81.0,69.0,12.0,14.81,180 g,0.38333333333333336
177,177.0,Cheez Puffs,Cheetos,4.1,50.0,46.0,4.0,8.0,140 g,0.32857142857142857
178,178.0,YiPPee! Mood Masala Instant Noodles,Sunfeast,4.2,120.0,91.2,28.799999999999997,24.0,520 g,0.1753846153846154
179,179.0,Vermicelli - Rice Sevai,MTR,4.0,50.0,50.0,0.0,0.0,400 g ,0.125
180,180.0,Bounce Creme Biscuits - Orange,Sunfeast,4.2,,,,,41 g,
181,181.0,Maxx Macho Chilli,Lays,4.1,60.0,50.4,9.600000000000001,16.0,112 g,0.45
182,182.0,2-Minute Instant Noodles - Special Masala,MAGGI,4.2,240.0,216.0,24.0,10.0,840 g ,0.2571428571428571
183,183.0,Papad - Jeera,Lijjat,4.1,72.0,72.0,0.0,0.0,200 g ,0.36
184,184.0,HiFi Cashew Butter Cookies,Sunfeast,4.2,5.0,5.0,0.0,0.0,35 g ,0.14285714285714285
185,185.0,"Peanut Butter - Crunchy, Rich In Protein, Spreads",Sundrop,4.2,250.0,225.0,25.0,10.0,924 g,0.2435064935064935
186,186.0,"Waffy Wafers - Orange Flavoured, Creamy & Crunchy",Dukes,4.2,50.0,25.0,25.0,50.0,60 g ,0.4166666666666667
187,187.0,Khara Boondi,Townbus,4.1,55.0,55.0,0.0,0.0,135 g,0.4074074074074074
188,188.0,"Tiger Kreemz - Elaichi Cream Biscuits, Teatime Snack",Britannia,4.1,5.0,5.0,0.0,0.0,33.4 g,0.14970059880239522
189,189.0,"Biscuits - Marie, Sugar Free",Bisk Farm,4.2,50.0,50.0,0.0,0.0,300 g ,0.16666666666666666
190,190.0,Kaju Katri,Amul,4.0,435.0,435.0,0.0,0.0,500 g,0.87
191,191.0,Funfoods Veg Mayonnaise - Original,Dr. Oetker,4.2,178.0,142.0,36.0,20.22,500 g,0.284
