,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
239,Super Saver Palakkad Red Matta Boiled Rice,Super Saver,3.6,₹598,₹650,10 kg
240,"Walnuts - Kernels, Premium 100% Natural Kashmiri",Happilo,3.8,₹773.5,₹910,2x200 g - Multipack
241,Organic - Cloves/Lavanga,BB Royal,4.1,₹46,₹49,20 g
242,Mixed Dry fruits,BB Royal,3.6,₹567,₹750,500 g - Pouch
243,Organic - Rice Flour,BB Royal,4,₹126,₹198,2x1 kg - Multipack
244,Tilnad Sesame Oil,Klf,4.2,₹422.52,₹430,1 L
245,Vadi Matta Rice,Double Horse,4,₹379,₹480,5 kg - Bag
246,"Kashmiri Chilli Powder - Perfect Colour, Smell & Taste",Eastern,4.1,₹330,₹540,2x250 g - Multipack
247,Powder - Green Coriander,Everest,4.1,₹200,₹200,500 g - Pouch
248,"Rice/Akki - Steam, Sona Masoori",BB Popular,4,₹59,₹70,1 kg - Pouch
249,Soya - Mini Chunk,Nutrela,4.2,₹57,₹60,200 g - 0
250,Unpolished Urad Dal - Split,Tata Sampann,4.1,₹217.28,₹224,1 kg
251,Organic - Urad Whole Gota Unpolished,BB Royal,4,₹724.5,₹805,5 kg
252,Refined Oil - Groundnut,Safal,4.2,₹220,₹220,1 L - Pouch
253,Idli/Idly Rice,BB Popular,2.6,₹526,₹650,10 kg
254,Masala - Rasam Powder,MTR,4.2,₹119,₹135,200 g - Pouch
255,100% Natural Premium Californian Almonds - Value Pack,Happilo,4.1,₹966.6,₹1350,1 kg
256,Basmati Rice - Super,Daawat,4.1,₹138.86,₹220,1 kg - Pouch
257,GTS Original Vada Colam Raw Rice,Bullet,0,₹877.5,₹1080,10 kg
258,"Pink Salt - With 100% Natural Sendha Salt, For Everyday Cooking, Iodised Rock Salt",Tata Salt,4.1,₹72,₹80,1 kg - Pouch
259,Dates/Kharjura,Lion,3.7,₹170,₹170,500 g - Buy 1 Get 1 Free
260,Organic - Channa Dal Unpolished,BB Royal,4,₹65,₹77,500 g
261,Organic - Brown Rice,BB Royal,0,₹798,₹960,2x5 kg - Multipack
262,Ponni Boiled Rice,BB Popular,0,₹1386,₹1800,26 kg - Bag
263,Pure Cow Ghee,Gowardhan,4.1,₹1450,₹1450,2 x 1 L - Multipack
264,Rice Flour/Akki Hittu,BB Super Saver,4,₹22,₹28,500 g
265,Tur/Arhar Dal,24 Mantra Organic,4,₹510.4,₹580,2x1 kg - Multipack
266,Refined Palmolein Oil - Imported,Palmpure,4.1,₹93.79,₹101,1 L
267,Asafoetida - Powder,Ssp,4.2,₹310,₹310,10 g - Jar
268,"Masala-Ae-Magic - Seasoning With Aromatic Roasted Spices, Enhances Flavour",MAGGI,4.2,₹51,₹60,6 g - (Pack of 12)
