,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
119,Raisins/Ona Drakshi - Indian,₹246,₹500,BB Popular,1 kg - Pouch
120,Organic - Chana Brown/Kadale Kaalu,₹29,₹33,BB Royal,200 g 
121,Tamil Ponni Boiled - Rice,₹129,₹150,BB Royal,2 kg - Pouch
122,Jeera/Jeerige - Whole,₹201.6,₹280,Catch,200 g 
123,Organic - Sona Masoori Raw Rice,₹730,₹1050,BB Royal,2x5 kg - Multipack
124,Mustard/Sasive/Rai - Big,₹171,₹300,BB Royal,1 kg 
125,Basmati Rice/Basmati Akki - Dubar,₹133,₹159,India Gate,1 kg - Pouch
126,Pureit Refined Sunflower Oil,₹569,₹700,Gemini,5 l - Jar
127,Kabuli Chana/Kabuli Kadale,₹299.86,₹319,Tata Sampann,1 kg - Pouch
128,Dates/Kharjura - Deseeded,₹149,₹149,Lion,500 g - Cup
129,Maida,₹22,₹31,BB Super Saver,500 g 
130,Superlite Advanced Oil - Sunflower,₹479.22,₹489,Sundrop,3 L - Can
131,"Chilli - Guntur, Stemless",₹245,₹400,BB Royal,500 g 
132,Rice Flour,₹56.84,₹58,Vijay,1 kg 
133,MTR Hingh Powder,₹72,₹90,MTR,50 gm 
134,Idli/Idly Rice,₹96,₹120,Super Saver,2 kg 
135,Organic Cow Ghee/Tuppa,₹750,₹750,AKSHAYAKALPA,490 ml 
136,Jaggery - Bucket,₹63,₹100,BB Royal,900 g 
137,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",₹47,₹50,Tata Salt,1 kg - Pouch
138,Til/Ellu - White,₹192,₹250,BB Royal,500 g 
139,Tamarind/Hunisehannu/Imli - Seedless,₹170,₹300,BB Popular,1 kg - Pouch
140,Cumin/Jeera/Jeerige - Whole,₹369,₹500,BB Popular,500 g 
141,Red Lobia/Alasandee Kaalu,₹75.2,₹80,BB Royal,500 g - Pouch
142,Organic - Pumpkin Seeds,₹321.1,₹398,BB Royal,2x200 g - Multipack
143,Coconut Oil,₹180,₹265,Mr. Gold,1 L 
144,Refined Oil - Sunflower,₹110.5,₹139,Freedom,1 L - Pouch
145,Turmeric Powder/Arisina Pudi,₹153,₹180,Tata Sampann,500 g 
146,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",₹373.1,₹455,Safe Harvest,5 kg 
147,Fennel/Saunf/Sompu - Big,₹58,₹80,BB Popular,100 g 
148,Active Edible Oil,₹1070,₹1610,Saffola,2x5L - Multipack
149,Atta - Chakki Fresh,₹60.36,₹74,Fortune ,1 kg 
150,Pure Ghee/Tuppa,₹145,₹170,Fresho,200 ml 
151,Organic Kabuli Chana/Kabuli Kadale,₹453.15,₹539,BB Royal,2 kg 
152,Pista Magaj - Plain Kernel,₹1329,₹1500,BB Royal,500 g 
153,High Aroma Cow Ghee,₹1425.06,₹1450,Amul,2 x 1 L - Multipack
154,Kurnool Sona Masoori Raw Rice (12 + Months Old),₹1499,₹1820,BB Royal,26 kg - (12 + Months Old)
155,Rice Bran Health Physically Refined Oil,₹683.4,₹775,Fortune ,5 L - Jar
156,Rock Salt/Uppu,₹88.8,₹120,Tata Salt,1 kg - Pouch
157,Jaggery/Bella - Kolhapuri,₹46,₹72,BB Royal,450 g 
158,Nature's Super Foods Organic Atta,₹65,₹75,Aashirvaad,1 kg 
159,Tasty - Pro Fitness Conscious Edible Oil,₹408,₹450,Saffola,3X1 L - Multipack
160,Cashew/Godambi - Broken,₹941,₹1200,BB Popular,1 kg 
161,Horse Gram/Hurali Kaalu,₹33,₹36,BB Royal,200 g - Pouch
162,Powder - Tikhalal Chilly,₹660,₹660,Everest,1 kg - Pouch
163,Salt/Uppu - Crystal,₹18.27,₹26,AKAR,1 kg - Pouch
164,"Almond/Badam - Californian, Giri",₹702,₹1000,Super Saver,1 kg 
165,Organic Walnut/Akrodu Kernels,₹800.85,₹1099,BB Royal,500 g 
166,Rice/Akki - Jeera,₹114.92,₹135,India Gate,1 kg 
167,Ragi Flour/Ragi Hittu,₹53,₹90,BB Super Saver,1 kg 
168,Turmeric Powder,₹73,₹81,MTR,250 Gm 
169,Khus Khus/Gasagase,₹492,₹800,BB Royal,200 g 
170,Organic - Cashew/Godambi Whole Bold,₹1071.6,₹1499,BB Royal,1 kg 
171,Ghee/Tuppa,₹3130,₹3130,Amul,5 L 
172,Masoor Dal/Mysore Bele,₹29,₹37,BB Royal,200 g 
173,Basmati Rice/Basmati Akki - Classic,₹196.67,₹243,India Gate,1 kg - Pouch
174,Organic - Sugar,₹226.1,₹430,BB Royal,2x2 kg - Multipack
175,Sundrop Super Lite Advanced - Sunflower Oil Pouch,₹180,₹180,Sundrop,1 L - Pouch
176,Green Peas,₹32,₹70,BB Royal,200 g - Pouch
177,Wheat - Sharbati,₹493,₹600,BB Royal,10 kg - Bag
178,Organic - Cinnamon/Chakke,₹19.95,₹27,BB Royal,20 g 
179,Organic - Black Pepper/Kali Mirchi,₹380,₹500,BB Royal,2x200 g - Multipack
180,Organic - Chia Seeds,₹106.4,₹205,BB Royal,200 g 
181,Black Raisins/Ona Drakshi - Seedless,₹93,₹120,BB Royal,200 g - Pouch
182,Chilli Powder,₹175,₹250,Aashirvaad,500 g 
183,Mixed Dry fruits,₹639,₹750,BB Royal,500 g - Pouch
184,Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,₹406.43,₹550,BB Royal,10 kg 
185,"Masoor Dal/Mysore Bele - Whole, Unpolished",₹154.23,₹159,Tata Sampann,1 kg - Pouch
186,Oil - Mantra GroundNut,₹246,₹246,Idhayam,1 L - Pouch
187,"California Almonds - Premium, Protein Packed",₹199,₹300,BB Royal,200 g - Standy Ziplock Pouch
188,Salt/Uppu - Iodised,₹15.75,₹25,Aashirvaad,1 kg - Pouch
189,Basmati Rice - Rozana Premium,₹874.95,₹1150,BB Royal,2x5 Kg - Multipack
190,Ginger Garlic Paste,₹108.75,₹145,Mother's Recipe,500 g 
191,Oil - Groundnut Pouch,₹609,₹750,Dhara ,3x1 L - Multipack
192,Coriander Powder,₹182.75,₹215,Tata Sampann,500 g 
193,Basmati Rice/Basmati Akki - Biryani,₹1011.16,₹1170,Daawat,5 kg - Bag
194,Ragi Flour,₹66.64,₹68,Vijay,1 kg 
195,Basmati Rice/Basmati Akki - Rozana Gold,₹477.62,₹560,Daawat,5 kg - Pouch
196,Masoor Dal/Mysore Bele,₹89,₹150,BB Popular,1 kg - Pouch
197,Sooji/Bombay Rava,₹49,₹62,BB Super Saver,1 kg 
198,Coconad - Pure Coconut Oil,₹175.75,₹185,Klf ,1 L 
199,"Organic - Mustard/Sasive/Rai, Small",₹20,₹21,BB Royal,100 g 
200,Ponni Raw Rice - Super Premium,₹1611,₹1950,BB Royal,26 kg - (18 + Months  Old)
201,Roasted Sooji/Rava,₹31,₹40,BB Royal,500 g - Pouch
202,Lobia/Alasandee Kaalu - White,₹27,₹34,BB Royal,200 g - Pouch
203,Ponni Boiled Rice,₹1440,₹1800,BB Popular,26 kg - Bag
204,Organic - Little Millet/Samai Rice,₹69.35,₹92,BB Royal,500 g 
205,Cashew/Godambi - Whole,₹893,₹2000,BB Royal,1 kg 
206,Idli Sooji/Rava,₹19,₹30,BB Royal,500 g - Pouch
207,Green Moong//Hesaru Kaalu - Whole,₹140,₹160,BB Super Saver,1 kg 
208,Ponni Raw Rice (12 + Months Old),₹1631,₹1750,BB Royal,25 kg - Bag
209,Palakkad Red Matta Boiled Rice - Unda,₹1299,₹1750,BB Royal,25 kg - Bag
210,Dates/Kharjura,₹189,₹189,Lion,500 g - Buy 1 Get 1 Free
211,Sona Masoori Steam - Rice ( 6 + Months  Old),₹1443,₹1820,BB Royal,26 kg - Bag
212,Til - Black,₹209,₹250,BB Royal,500 g 
213,Organic - Methi/Menthya,₹32.3,₹44,BB Royal,200 g 
214,Organic - Brown Rice,₹1282.5,₹1798,BB Royal,2x10 kg - Multipack
215,Basmati Rice/Basmati Akki - Feast Rozzana,₹98,₹118,India Gate,1 kg - Pouch
216,Besan Fine/Kadale Hittu,₹93,₹150,BB Royal,1 kg - Pouch
217,"Atta With 9 Multigrain - High-Fibre & High Protein Soft Rotis, Fortified",₹500.96,₹650,BB Royal,10 kg 
218,Masala - Sambar Powder,₹134,₹150,MTR,200 g - Pouch
219,Chilli Powder,₹145,₹170,MTR,250 Gm 
220,"Kashmiri Chilli Powder - Perfect Colour, Smell & Taste",₹330,₹540,Eastern,2x250 g - Multipack
221,Organic - Byadagi Chilli Whole,₹180.5,₹229,BB Royal,200 g 
222,Powder - Green Coriander,₹200,₹200,Everest,500 g - Pouch
223,Idli Rava,₹56.84,₹58,Vijay,1 kg 
224,Masala - Bisibelebath Powder,₹65,₹80,MTR,100 g - Pouch
225,Filtered Groundnut Oil,₹208.33,₹240,Mr. Gold,1 L - Pouch
226,Vadi Matta Rice,₹392,₹480,Double Horse,5 kg - Bag
227,Fried Gram - Whole/Huri Kadale,₹153,₹180,BB Royal,1 kg 
228,Thick Poha,₹83.3,₹85,Vijay,1 kg 
229,Pure Cow Ghee,₹698,₹770,Gowardhan,2 x 500 ml - Multipack
230,Wheat Dalia/Lapsi rava,₹54,₹80,BB Royal,1 kg - Pouch
231,HMT Kolam Raw Rice/Akki,₹69,₹90,Super Saver,1 kg 
232,Plain Puffed Rice/Kadle Puri/Murmure,₹36,₹40,BB Royal,200 g - Pouch
233,"100% Natural & Pure Groundnut Oil - Unrefined, Cold-Pressed",₹1662.5,₹1750,Nature Way,5 L 
234,Organic - Maida,₹28,₹43,BB Royal,500 g 
235,Pure Ghee,₹1240,₹1240,Amul,2 x 1 L - Multipack
236,Refined Oil - Rice Bran,₹108.64,₹140,Mr. Gold,1 L - Pouch
