,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
102,102,Diabetes Care Specialized Nutrition Drink - Vanilla Delight Flavour,Ensure,1635.0,1565.0,70.0,4.28,1 kg - Box,1 kg ,1 kg ,1000.0,1.565
103,103,"Nutritional Drink Mix For Adults For Everyday Health With High Protein, To Increase Strength & Energy - Rich Chocolate",Protinex ,1235.0,1085.0,150.0,12.15,750 g - Carton,750 g ,750 g ,750.0,1.4466666666666668
104,104,Coffee Powder Premium Blended,Cothas Coffee,65.0,65.0,0.0,0.0,100 g - Pouch,100 g ,100 g ,100.0,0.65
105,105,"Instant Filter Coffee Liquid - Strong, Chicory Blend, No Preservatives",iD,240.0,240.0,0.0,0.0,400 ml - ( 8 Units x Pack of 5(10 ml Each)),400 ml ,400 ml ,400.0,0.6
106,106,Soft Drink - Lime Flavoured,Sprite,198.0,182.0,16.0,8.08,2 x 2.25 L - (Multipack),2*2.25 L ,4.5 L,4500.0,0.04044444444444444
107,107,"Soft Drink - Orange Flavoured, Refreshing",Fanta,95.0,84.0,11.0,11.58,2 l - Pet Bottle,2 l ,2 l ,2000.0,0.042
108,108,Delight Fruit Juice - Pineapple,Tropicana,250.0,250.0,0.0,0.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.125
109,109,"Nutrition Drink - Health, Energy & Sports",Boost,599.0,599.0,0.0,0.0,1 Kg - Carton,1 Kg ,1 Kg ,1000.0,0.599
110,110,Limonata - Limey Minty Cooler,Bisleri ,80.0,80.0,0.0,0.0,2x600 ml - Multipack,2*600 ml ,1200 ml,1200.0,0.06666666666666667
111,111,Activ Fiber + Multi Fruit Beverage - No Added Sugars & Preservative,Real,320.0,210.11,109.88999999999999,34.34,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.10505500000000001
112,112,Coconut Water/Nariyal Pani,Real Activ,840.0,721.68,118.32000000000005,14.09,24 x 200 ml - Multipack,24*200 ml ,4800 ml,4800.0,0.15034999999999998
113,113,"Black Tea - Original, Classic Assam Blend, Staple-Free, Environment Friendly Bags",Tetley,210.0,157.5,52.5,25.0,170 g - (100 bags x 1.7 g each),170 g ,170 g ,170.0,0.9264705882352942
114,114,Soft Drink - Orange,Mirinda,75.0,67.0,8.0,10.67,1.5 L ,1.5 L ,1.5 L ,1500.0,0.04466666666666667
115,115,100% Apple Juice,Tropicana,435.0,435.0,0.0,0.0,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.145
116,116,Malgudi Filter Coffee - 60:40,Continental,90.0,90.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,0.45
117,117,Filter Coffee Decoction,iD,250.0,236.9,13.099999999999994,5.24,2 x 150 ml - Multipack,2*150 ml ,300 ml,300.0,0.7896666666666667
118,118,"Yellow Label Tea - Finest Blend, Rich, Aromatic",Lipton,300.0,300.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,1.2
119,119,Fruit Power - Coconut Water,Real,340.0,179.93,160.07,47.08,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.089965
120,120,Filter Coffee With Chicory,LEVISTA,340.0,340.0,0.0,0.0,500 g - Pouch,500 g ,500 g ,500.0,0.68
