,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
984,984,Premium Dried Blueberry Cranberry Duet,Happilo,760,646,114,15,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.615
985,985,"Organic Cardamom/Elaichi - Green, Small",Pro Nature,450,405,45,10,50 g ,50 g ,,50 g ,50,8.1
986,986,"Cold Pressed Groundnut Cooking Oil - Perfect Blend of Health, Taste & Aroma, Promotes Heart Health & Lowers Cholesterol Levels",Dabur,499,454.09,44.91,9,1 L - Bottle,1 L ,,1 L ,1000,0.45409
987,987,Sunflower Oil,Patanjali,120,120,0,0,1 L ,1 L ,,1 L ,1000,0.12
988,988,Mitha Pan Mouth Freshener,BB Royal,80,60,20,25,90 g ,90 g ,,90 g ,90,0.666666667
989,989,Masala - Tandoori,Everest,187,187,0,0,200 g ,200 g ,,200 g ,200,0.935
990,990,Organic - Methi/Menthya/Fenugreek Powder,BB Royal,52,42,10,19.23,200 g ,200 g ,,200 g ,200,0.21
991,991,Cold Pressed Organic Sunflower Oil,Nutriorg,2450,2450,0,0,5 L - Container,5 L ,,5 L ,5000,0.49
992,992,"Strawberry Cereal - No Sugar, Instant Healthy Cereal With Ragi, Rice & Milk",Slurrp Farm,349,349,0,0,200 g ,200 g ,,200 g ,200,1.745
993,993,"Dates - Black, With Seeds",BB Royal,600,379,221,36.83,1 kg ,1 kg ,,1 kg ,1000,0.379
994,994,Walnut/Akhrot - Inshell,BB Royal,625,375,250,40,500 g ,500 g ,,500 g ,500,0.75
995,995,Premium Cashews Toasted & Salted,Happilo,790,549.06,240.94,30.5,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.37265
