,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
196,"Dark Fantasy - Yumfills, Rich Chocolate Pie Cake",₹85.06,₹170,Sunfeast,242 g 
197,Potato Chips - American Style Cream & Onion Flavour,₹60,₹60,Lays,3x52 g - Multipack
198,Chocolate Home Treats Bar,₹328.55,₹447,Cadbury 5 Star,3x191.9 g - Multipack
199,Papad - Jeera,₹72,₹72,Lijjat,200 g - Pouch
200,Bengaluru Special Mixture,₹165,₹330,Sowbhagya foods,2 x 500 g - Multipack
201,Khara Boondi,₹55,₹55,Townbus,135 g 
202,Muesli Breakfast Cereal - With Multigrain & 21% Fruit & Nut,₹411,₹720,BB Royal,2x500 g - Multipack
203,Nissin Geki - Hot & Spicy Korean Veg Flavour,₹220.5,₹294,Nissin,80 g - (Pack of 6)
204,Maxx Macho Chilli,₹50.4,₹60,Lays,2 x 56  g - Multipack
205,Durum Wheat Pasta - Fusilli,₹280,₹598,BORGES,2x500 g - Multipack
206,Namkeen - Kodubale,₹55,₹55,Townbus,135 g 
207,"50-50 - Jeera Biscuit, With Light & Crispy Texture, Teatime Snack",₹45,₹60,Britannia,66 g - (Pack of 4)
208,"Waffy Wafers - Orange Flavoured, Creamy & Crunchy",₹25,₹50,Dukes ,60 g - Pouch
209,Punjabi Tadka Namkeen,₹54,₹54,Haldiram's,200 g - Pouch
210,"Peanut Chikki - Made With jaggery, Healthy Snack, Protein Rich",₹85,₹85,SDA ,200 g - POUCH
211,Funfoods Veg Mayonnaise - Original,₹142,₹178,Dr. Oetker,2 x 250 g - Multipack
212,Farmlite Biscuit - Oats & Almonds,₹168.66,₹195,Sunfeast,3x150 g - (Multipack)
213,Crackle Chocolate Bar,₹335.16,₹360,Cadbury Dairy Milk,8 x 36 g - Multipack
214,"Mac & Cheese Pasta - American Style, Macaroni, With Creamy Sauce Maker & Extra Herby Sprinkler",₹39.5,₹79,Keya,95.5 g - Pouch
215,Frozen - Mixed Vegetables,₹127.5,₹150,Safal,1 Kg - Pouch
216,Papad - Urad,₹366,₹366,Lijjat,1 kg - Pouch
217,"Biscuits - Marie, Sugar Free",₹50,₹50,Bisk Farm,300 g - Packet
218,Marie Light - Oats Fibre Biscuits,₹42.75,₹45,Sunfeast,3x100 g 
219,Rocher Chocolate,₹11148,₹14864,Ferrero,16x24 pcs - Multipack
220,"Fruit N Nut, Dark Chocolate- 55% Rich In Cocoa",₹110,₹110,Amul,150 g - Carton
221,Motichur Laddoo,₹99,₹99,Lal,200 g 
222,Dark Soy Sauce,₹163.8,₹180,Ching's Secret,3x200 g - Multipack
223,"Honey Active - From Sundarban Forest, 100% Pure, No Sugar Adulteration",₹356.25,₹475,Saffola,1 kg - Jar
224,Masala Rava Idli Ready Mix,₹120,₹130,MTR,500 g - Pouch
225,"Dark Fantasy Combi Pack - Choco Fills, Original Filled Cookies",₹142.4,₹160,Sunfeast,75 g - (Buy 4 get 1 Free)
226,"Schezwan Pasta - Chinese Style, Fusilli, With Zingy Sauce Maker & Extra Spicy Sprinkler",₹39.5,₹79,Keya,95.5 g - Pouch
227,"Minute Fresh Idli Batter - ConviPack, No Added Soda, Preservatives, Flavours Or Colours, Authentic Taste",₹70,₹85,MTR FOODS,750 g 
228,Namkeen - All in One,₹100,₹100,Haldiram's,400 g - Pouch
229,Chaat Papdi - Crispy,₹123,₹218,Tasties Origins,2x150 g - Multipack
230,"Nacho Crunchy, Nachos Chips, Snacks Cheese, Party Pack",₹67.5,₹100,Doritos,2x 82.5 g - Multipack
231,Candy - Melody Chocolaty,₹100,₹100,Parle,391 g - Pouch
232,Durum Wheat Pasta - Spaghetti,₹140,₹299,BORGES,500 g - Pouch
233,"100% Premium Pistachios Roasted & Salted - Premium Quality Pista, Rich In Protein, Phosphorus, & Dietary Fibre, Premium Nuts & Dry Fruits",₹311.05,₹345,Tata Sampann,200 g - Pouch
234,Namkeen - Tasty Nut Masala Coated,₹201,₹294,Tasties,6x150 g - Multipack
235,Tiger Kreemz Sandwich Biscuits - Choco,₹10,₹10,Britannia,86 g - Pouch
236,Durum Wheat Pasta - Spaghetti,₹194,₹350,HappyChef,2x500 g - Multipack
237,3 Minute Breakfast Vegetable Upma,₹72,₹81,MTR,3 x 60 g - Multipack
