,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
156,"Nutritious Milk Drink For Growing Children - Creamy Vanilla Flavour, For 2-6 Yrs",₹610,₹610,Nestlé NANGROW,400 g - Carton
157,"Care Flavoured Tea - Brahmi, Ginger, Tulsi, Elaichi & Adhimadhuram",₹228,₹240,Tata Tea Chakra Gold,250 g - Carton
158,Fresh Filter Coffee - 80 Degree,₹294.5,₹310,Continental Malgudi,500 g - 1
159,"Organic Tulsi Green Tea - Lemon & Ginger, Stress Relieving",₹206.4,₹215,Organic India,45 g - (25 Bags x 1.8 g each)
160,Tea,₹80,₹80,Taj Mahal,25 pcs 
161,Fruit Power Juice - Apple,₹308.46,₹345,Real,3x1 L - Multipack
162,"Cold Extracted Juice - Basics, Sugarcane",₹380,₹400,Raw Pressery,5x250 ml - Multipack
163,Elaichi Flavoured Tea,₹144,₹240,Tata Tea Chakra Gold,250 g 
164,Lite Health & Nutrition Drink - Badam Flavour,₹329,₹349,Horlicks,450 g - Carton
165,Natural Mountain Water - Vedica,₹360,₹360,Bisleri ,6x1 L - Multi Pack
166,100% Tender Coconut Water/Nariyal Pani,₹552,₹660,Real Activ,12 x 200 ml - Multipack
167,"Nutritional Supplement - High Protein, Vanilla Flavour",₹1200,₹1350,Protinex ,2x400 g - (Multipack)
168,"Lush Lychee Juice - Enriched With Vitamin D, No GMOs",₹114,₹120,Paperboat Swing,3x600 ml - Multipack
169,"Instant Coffee Powder - Chicory Mix, Shade-Grown, No Preservatives",₹150.9,₹190,iD,2 x 50 g - Multipack
170,100 % Orange Juice - With No Added Sugar and Preservative,₹392.85,₹465,Real Activ,3x1 L - Multipack
171,Filter Coffee Decoction Chicory Blend Roasted Ground Smooth No Preservatives 70:30,₹47.5,₹50,Cothas Coffee,100 ml - (Pack of 5)
172,Fruit Power Juice - Pineapple,₹216,₹240,Real,12x 180 ml - Multipack
173,Fine Aroma Instant Coffee,₹1235,₹1300,Davidoff,2 x 100 g - Multipack
174,"Valencia Orange Juice - Cold-Pressed, No Added Sugar, Preservative Free",₹399,₹469,Fresho Signature,1 L - Pet Bottle
175,Malgudi Filter Coffee Pouch -  80:20,₹140,₹140,Continental,200 g 
176,"Green Tea - With Plain, Tulsi, Lemon & Honey, Travel Pack",₹19,₹40,Emperia,6.7 g - (5 Tea Bags x 1.34 g Each)
177,"Juice - Fruit Power, Orange/Santra",₹334.65,₹390,Real,3X1 L - Multipack
178,Sports Drink - Lemon Flavour,₹300,₹300,Gatorade,6x500 ml - Multipack
179,"Junior - Health Drink, Chocolate - Specialized Nutrition For Kids",₹315,₹315,Horlicks,500 g 
180,Coconut Milk,₹140,₹170,Coco mama,2 x 250 ml - Multipack
181,Green Tea Honey Lemon,₹170,₹170,Emperia,35 g - (25 Bags x 1.4 g Each)
182,Juice - Sparkling Apple,₹120,₹120,Appy,2x1 L - Multipack
183,Jaljeera Refreshing Summer Drink,₹189,₹210,Paper Boat,6x200 ml - Multipack
184,Health Drink - Plus Orange,₹45,₹45,ORSL,200 ml 
