,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
237,Crackle Chocolate Bar,₹335.16,₹360,Cadbury Dairy Milk,8 x 36 g - Multipack
238,Coconut Barfi Mithai / Sweet - Made With Desi Ghee,₹85,₹199,Tasties,200 g 
239,Miniatures Chocolate,₹169.15,₹199,Snickers,180 g - Pouch
240,Happy Happy Choco-Chip Cookies,₹70,₹140,Parle,396 g 
241,"Chocolate Bar - Bar One, Nougat & Caramel Filled",₹20,₹20,Nestle ,38 g 
242,Namkeen - Tasty Nut Masala Coated,₹159,₹294,Tasties,6x150 g - Multipack
243,Fruit & Nut Chocolate Bar,₹502.74,₹540,Cadbury Dairy Milk,6 x 80 g - Multipack
244,Peanut Filled Chocolate Bar,₹9792,₹11520,Snickers,288x45 g - Multipack
245,Candy - Melody Chocolaty,₹100,₹100,Parle,391 g - Pouch
246,Murukku,₹65,₹65,Haldiram's,200 g - Pouch
247,Waffy Wafers - Chocolate Flavoured Creamy & Crunchy,₹25,₹50,Dukes ,60 g - Pouch
248,Chocolate,₹276.36,₹300,Cadbury Dairy Milk,6x55 g - Multipack
249,"Chocos - Variety Pack, With Protein & Fibre",₹186,₹210,Kelloggs,3x175 g - Multipack
250,"Khova - Unsweetened, Creamy Texture, Milky Aroma",₹95,₹95,Milky Mist,200 g - Pouch
251,Spiced Chicken Instant Cup Noodles,₹133.86,₹150,Nissin,3x70 g - Multipack
252,Baking Soda,₹32,₹32,Weikfield,100 g - Jar
253,Marie Biscuits,₹87.5,₹175,Parle,800 g 
254,Happala,₹80,₹80,Anil,200 g - Pouch
255,Badam Laddoo - Made In Pure Ghee,₹190,₹380,Daadi's,2x200 g - Multipack
256,Durum Wheat Pasta - Spaghetti,₹182.36,₹350,HappyChef,2x500 g - Multipack
257,Namkeen - All in One,₹10,₹10,Haldiram's,38 g - Pouch
258,Power Up Instant Atta Noodles,₹89.6,₹112,Sunfeast YiPPee!,280 g - (Pack of 4)
259,"Oats Multigrain Rolled Oats Wholegrain - High Protein & Fibre For Weight Loss, Dalia Porridge",₹280,₹350,Quaker,2 x 600 g - Multipack
